basin,nse,nse_rg,nse_r1,nse_c1,nse_g1,nse_bfi_r1,nse_bfi_c1,nse_bfi_g1,bfi_obs,bfi_r1,bfi_c1,bfi_g1,qmean_obs,qmean_r1,qmean_c1,qmean_g1,slope_obs,slope_r1,slope_c1,slope_g1,hfd_obs,hfd_r1,hfd_c1,hfd_g1
DERP2004,0.013527702869768232,0.1535451840265083,0.8098092090202218,0.7962815061504536,0.6562640249937135,0.8027830329071223,0.7879456166219749,0.3531885612304776,0.5001961046867561,0.5879708584597387,0.593062685229267,0.7360633899229186,1.2123051432798406,1.2065177061793082,1.215538536593458,1.1880662945933298,3.0978596160693375,2.757390735165387,2.65769110241234,1.9558677065661076,125.73076923076923,133.23076923076923,133.6153846153846,148.96153846153845
FR003252,0.02363353563758397,-0.03338771655761408,0.6562276897691807,0.6325941541315967,0.6896154063267947,,,,0.6693441995521313,0.6932851112065869,0.598840945740536,0.6721578960538318,1.683498334877289,1.5505490770761425,1.5837436499738973,1.5432590727080744,2.0874403893284983,2.12265883578746,2.3845775149138446,2.21954346810299,149.33333333333334,146.08333333333334,138.25,143.41666666666666
FR003302,0.012906599618951686,0.01689647693094265,0.826860772494117,0.8139541728751654,0.8099642955631744,,,,0.5461876410176256,0.5886629042562319,0.5996129739978012,0.6020819538977262,0.8495899649369768,0.8335481583591631,0.8473457494149439,0.8493257888577422,2.4046815359867963,2.3018852950897375,2.0747898778847462,2.241801007222826,131.33333333333334,135.875,136.29166666666666,136.41666666666666
FR003249,0.006295794176613745,-0.00349979404074241,0.8672905945791751,0.8609948004025614,0.8707903886199175,,,,0.5796744249010707,0.6065980075427072,0.5942693053773389,0.5998732686351272,1.57132401475247,1.4586540460554651,1.4673220464110588,1.4500731531869855,2.7292696550983586,2.4958467982344477,2.400661854662775,2.483272978168413,128.30769230769232,132.0,131.5,132.15384615384616
FR000144,0.02540118560283866,0.06632212483034738,0.0981204584017249,0.07271927279888624,0.03179833357137751,,,,0.6872353910753508,0.821959094855609,0.7652601025268079,0.767349293393425,1.444598096445125,1.1508057477151508,1.1551602192073056,1.1495412339661326,2.1998091011604126,1.6819364491920141,1.6372983542853792,1.9822047320985485,173.23809523809524,161.8095238095238,152.33333333333334,150.61904761904762
LU000006,0.024254067225544684,0.054749316047765784,0.8192927073554963,0.7950386401299516,0.7645433913077305,,,,0.572308467363715,0.6128322944635377,0.6401271476154285,0.686697279061925,0.9586417313463302,0.7595265119075556,0.7594587548695394,0.7680004500240186,2.4141306296435143,2.1909546099841557,1.9497192332664908,1.73127461880823,127.46153846153847,132.53846153846155,136.92307692307693,142.23076923076923
LU000007,0.009520901296341422,0.02441871227162229,0.7790297570641606,0.7695088557678191,0.7546110447925383,,,,0.5820376371289808,0.5894434610868348,0.6343094784886576,0.5442827684235534,0.8377600275319108,0.6880049440307378,0.6929139648699363,0.70288158927978,2.179298871547911,2.0824464661424678,1.8973439259337583,2.300135034341803,135.30769230769232,133.23076923076923,138.69230769230768,132.07692307692307
LU000014,-0.00484418135156639,0.03860156145730498,0.7441536079784447,0.748997789330011,0.7055520465211397,,,,0.5910754818827649,0.5772237193556902,0.6313238419489634,0.5236843170513507,0.806441904065329,0.6747282727999628,0.680647474809866,0.6907993266258146,1.7501577598896076,2.112418656747329,1.9049333710167726,2.4534816784723166,134.30769230769232,132.92307692307693,139.07692307692307,131.30769230769232
DERP2006,0.04581480792555548,-0.04388829208151179,0.7616480149914753,0.7158332070659198,0.8055363070729871,0.7955210655719722,0.7207081449964503,0.7751672333764681,0.43962157636394383,0.5774254652217669,0.6130692817232919,0.5019256179424958,1.4772328390901432,1.238586170618859,1.2467232749074748,1.2198027668278997,4.017057443002232,2.8041233749399614,2.5226310207972102,2.732769381892081,122.23076923076923,133.42307692307693,135.8846153846154,134.46153846153845
FR000124,-0.015568595094807902,-0.005632982512145279,0.7582060387796198,0.7737746338744277,0.7638390212917651,,,,0.4742586446981948,0.49771746411327356,0.4783099745205715,0.503795283565978,3.9161042905995633,3.104511115544089,3.0945748330293354,3.0316966152607754,3.0970781483971495,3.020120385340319,2.901774740993436,2.854175836829751,118.71428571428571,125.95238095238095,127.42857142857143,127.80952380952381
