basin,nse,nse_rg,nse_r1comp,nse_c1comp,nse_g1comp,nse_bfi_r1comp,nse_bfi_c1comp,nse_bfi_g1comp,bfi_obs,bfi_r1comp,bfi_c1comp,bfi_g1comp,qmean_obs,qmean_r1comp,qmean_c1comp,qmean_g1comp,slope_obs,slope_r1comp,slope_c1comp,slope_g1comp,hfd_obs,hfd_r1comp,hfd_c1comp,hfd_g1comp
FR000124,-0.02507722282305569,0.09534492214161427,0.7570256960050017,0.7821029188280574,0.6616807738633874,,,,0.4742586446981948,0.6098372980743453,0.5646227107436328,0.694292215073664,3.9161042905995633,3.4303966314124796,3.3768585588849693,3.3698193512521524,3.0970781483971495,2.2004553675924825,2.1997231432688187,1.8423610565658228,118.71428571428571,133.33333333333334,132.38095238095238,140.71428571428572
BEWA0067,0.06950258582586177,0.11234236410260989,0.7199255797262756,0.6504229939004138,0.6075832156236657,,,,0.44687806121952867,0.6411947441029004,0.6804595357242069,0.72810416974084,1.5219266002304095,1.4357319577239593,1.4044435247733866,1.3674693102165831,3.527883532917868,2.5648182968613873,2.0501287462413207,1.5559044783212006,123.4375,141.625,146.5,148.1875
FR000169,-0.017312040894529757,-0.0034443934417132116,0.6653650113258425,0.6826770522203722,0.6688094047675557,,,,0.5816472690192767,0.5400823968286703,0.568445588524352,0.5256509050666839,0.7066709652720817,0.7169695638515229,0.7095001741357775,0.6888165752804742,1.8911673540319904,3.1337979327051886,2.9651459883004536,3.2756827147340553,132.52631578947367,130.73684210526315,131.05263157894737,128.52631578947367
DERP2029,0.04580163941286042,0.01985743281154706,0.7016124928633034,0.655810853450443,0.6817550600517563,0.3022780115627972,0.09562600410424393,0.2189256983388691,0.5770721236525367,0.7447036213666726,0.7672300840782058,0.7569889890970284,0.8128997419966302,0.9034525785806008,0.9057178018144085,0.9126363548087091,2.202408139605328,1.5666524444202092,1.3622884511970474,1.5601603493371863,132.07692307692307,146.6153846153846,152.30769230769232,147.80769230769232
FR000153,-0.016214729142418616,-0.05513364380371644,0.6172225614668623,0.6334372906092809,0.6723562052705787,,,,0.6421192150887213,0.7333023127292253,0.721261487380187,0.6847807167381212,1.0716031926027136,1.2738598971059518,1.2800196196638243,1.2793614234939883,2.2348418963151917,1.5249747657363875,1.481232981479324,1.8275679398171116,133.83333333333334,141.55555555555554,142.77777777777777,135.94444444444446
FR000142,0.01726267717109986,0.029354969760421512,0.8275759958359495,0.8103133186648497,0.798221026075528,0.7942530663585198,0.80528621606196,0.7182292888135537,0.6181879444170277,0.6715192472891398,0.5957335791281186,0.7099906292506135,1.701081378030953,1.72784558575065,1.7084052951997093,1.7047847054243108,2.1363079945665095,2.118280796636918,2.323221857083455,1.8872527824401373,134.65384615384616,138.23076923076923,133.65384615384616,142.69230769230768
DERP2023,0.03618980218665013,-0.04642251879171955,0.811658462505653,0.7754686603190029,0.8580809812973725,0.6990552345622016,0.6431562123763279,0.8226865326031947,0.5475464240473255,0.6373542131828536,0.6796616680696173,0.585892134978034,1.2046407986235061,1.1348795681185255,1.1222318764842691,1.0939650759598665,2.2375005419180587,2.536592582481956,2.1645548374754777,2.5031003015366915,128.80769230769232,139.3846153846154,143.3846153846154,135.23076923076923
FR000128,0.017230101320714675,0.1294676231233628,0.8450328266968784,0.8278027253761637,0.7155652035735156,,,,0.5262351104042112,0.6385711352436311,0.6321789585608071,0.735152974470358,3.177223275885115,2.7809684236169936,2.7528128229782514,2.7647667910676987,2.878325804251507,2.175394503685789,1.9662063281379913,1.794542264074993,127.44,135.32,136.68,144.4
FR003246,0.01344481661739716,-0.012098757397507764,0.8027448210057091,0.7893000043883119,0.8148435784032169,,,,0.4707725058083362,0.5475236502136195,0.5769583869388426,0.5364781110995351,0.9209072206799293,0.8961855084670775,0.8929920544309069,0.8778523753521338,2.979323882652053,2.9989012983051975,2.8749092202396085,3.124776845936131,120.84,127.84,128.12,126.04
FR003241,0.0027394793603595646,0.059202027923697,0.8604006700119474,0.8576611906515879,0.8011986420882504,,,,0.5720068735304338,0.6529396839190826,0.6338733035883155,0.7067449569587008,1.9660347551444997,2.0703834193597825,2.058517474712495,2.0495960245612865,2.6656768746543382,2.0662934113592017,1.9788009934178294,1.8105693007782244,127.5,133.63636363636363,133.36363636363637,139.27272727272728
