basin,nse,nse_rg,nse_r1,nse_c1,nse_g1,nse_bfi_r1,nse_bfi_c1,nse_bfi_g1,bfi_obs,bfi_r1,bfi_c1,bfi_g1,qmean_obs,qmean_r1,qmean_c1,qmean_g1,slope_obs,slope_r1,slope_c1,slope_g1,hfd_obs,hfd_r1,hfd_c1,hfd_g1
FR003280,-0.02835994091226235,0.003327533711352304,0.42145899004545184,0.4498189309577142,0.41813145633409954,,,,0.6641526137715094,0.4806434995011653,0.4917113493488854,0.47692093679372427,1.2547971041714252,0.9865994564561509,0.9981382043559562,0.9859390774503741,3.012885676799598,2.910822627602989,2.807867150989299,3.090220915667099,139.57692307692307,126.42307692307692,128.42307692307693,128.42307692307693
DERP2017,0.027751937441275243,0.05108637380077796,0.8671983082693827,0.8394463708281075,0.8161119344686047,0.8570656739319888,0.7741343913677988,0.848753882613387,0.6040660981781378,0.5875941629425575,0.5463825214225345,0.7151035717459732,1.323952539769067,1.168962926425887,1.1764058856089554,1.1623438149888388,2.6920265731938446,2.609736903374167,3.1488045410205667,2.2681091640780853,133.5,131.84615384615384,127.34615384615384,144.23076923076923
DERP2031,-0.0025846522148522677,0.025994995930538556,0.8327522459909071,0.8353368982057594,0.8067572500603686,0.8677930948502,0.8598817618396597,0.7106358278341769,0.589492155815281,0.5513219409779423,0.543810071855153,0.717740012270309,1.1105974049514904,1.170408889366992,1.176129434816719,1.161837880261431,3.0308423381768783,2.93893435898209,3.169821638961596,2.285459457047417,133.8846153846154,129.42307692307693,127.46153846153847,144.6153846153846
FR000125,-0.02839755944227995,-0.02747349358948248,0.8126871108551684,0.8410846702974484,0.8401606044446509,,,,0.5023047759426577,0.4643090474019688,0.4740533950838628,0.5149200388226917,3.519459023368721,3.0466688588161897,3.018131928469562,3.020866280887137,2.7963068203600563,3.1613657284571386,3.056309702746822,2.8373557151748114,125.91304347826087,125.69565217391305,126.26086956521739,128.34782608695653
DERP2018,0.01509057645702272,0.06252992700798055,0.8500586137494974,0.8349680372924747,0.7875286867415169,0.8663011748427809,0.8649110690569075,0.596983703760111,0.5762481641776137,0.5681084477902567,0.5476910067734297,0.717689226240824,1.024572454928391,1.152912119650583,1.1602015866450044,1.1461202896242266,2.8786026835903322,2.7180022071000858,3.1449529592034473,2.264984165632386,132.46153846153845,130.69230769230768,127.42307692307692,144.6153846153846
DERP2022,0.008736458615475562,-0.029907643665613493,0.8253280090599137,0.8165915504444381,0.8552356527255272,0.7410240322660913,0.7669759173768002,0.754093992541065,0.560257812862486,0.5669707918183496,0.5983284245880608,0.5402470531729563,1.3282642136993508,1.1572911483508126,1.1580848924647291,1.1493881833382043,2.16063169738943,2.7778633328974722,2.62696513550642,2.6282811320862285,129.8846153846154,133.65384615384616,136.84615384615384,136.92307692307693
DERP2033,0.087180441246688,0.012796630784068452,0.8766984123361835,0.7895179710894955,0.8639017815521151,0.89681113703123,0.7769190011461227,0.8472498993038456,0.513752790574686,0.5642631997469981,0.6485303206112825,0.60302283207347,0.8456727379502524,0.8220947085588345,0.8339834151707157,0.8216616435677225,2.638083649959376,2.770530273210511,2.508829343363851,2.4242852043048133,127.96153846153847,132.69230769230768,138.5,139.15384615384616
FR003261,-0.008716598091112582,-0.07159228467733458,0.6809487436248709,0.6896653417159835,0.7525410283022055,0.2694118124317747,0.28874950145788936,0.5984731474769052,0.6059598129957963,0.7142799362053764,0.7153833426741284,0.6342152933404285,0.9507015985441356,1.1929311171406025,1.1945529670194248,1.1934634958874806,2.220164395451184,2.217844406147953,2.1939456531330244,2.4470078499519063,133.46153846153845,143.73076923076923,143.23076923076923,136.80769230769232
FR003295,0.001958247535337243,-0.0017473130549255922,0.7529832882114206,0.7510250406760833,0.7547306012663462,,,,0.5769152417053487,0.6503803327538635,0.6514310285988063,0.6336148467095357,0.874862179138891,1.0196108754650381,1.0212982111919306,1.0199316881442175,1.8349622379426132,2.337949989472719,2.293109166308112,2.4622244479033673,134.52,139.16,139.64,138.2
FR003253,0.024798629770125702,-0.03262397103031678,0.7365034416371881,0.7117048118670624,0.7691274126675048,,,,0.6512894124251375,0.6753458541830004,0.6023486529939733,0.6742314082916264,1.4149041810573662,1.4612831115816054,1.453077115415112,1.4559814286208783,2.3023088777028162,2.3549832465938927,2.4968243334274742,2.323284539266324,140.89473684210526,139.68421052631578,135.26315789473685,140.05263157894737
