basin,nse,nse_rg,nse_nogeo,nse_bfi_nogeo,bfi_obs,bfi_nogeo,qmean_obs,qmean_nogeo,slope_obs,slope_nogeo,hfd_obs,hfd_nogeo
DERP2033,0.0,0.0,0.8094442206972726,0.6501150853093063,0.513752790574686,0.6751412295376448,0.8456727379502524,0.838442354856928,2.638083649959376,1.866784159382237,127.96153846153847,139.84615384615384
FR003261,0.0,0.0,0.7103223237740732,0.4225003832045553,0.6059598129957963,0.6653547445824816,0.9507015985441356,1.2351884747351436,2.220164395451184,1.9275492918436954,133.46153846153845,135.6153846153846
FR003295,0.0,0.0,0.7231174511469743,,0.5769152417053487,0.6668718504907705,0.874862179138891,1.0539350687814864,1.8349622379426132,1.8567530939202663,134.52,136.64
FR003253,0.0,0.0,0.7745589139674853,,0.6512894124251375,0.6578799316153687,1.4149041810573662,1.531093020787467,2.3023088777028162,1.7571470765497352,140.89473684210526,137.0
FR003262,0.0,0.0,0.877901579562621,,0.6343893699502714,0.6673348753929073,1.2114182847345858,1.2819292127665436,2.3265395283367276,1.8636479448972405,135.24,136.08
DEBU1957,0.0,0.0,0.8964382510929563,0.8531171662165303,0.6064127198456731,0.6747807951337907,0.8558204789088875,0.8863598831870598,2.049170615368509,1.8740540735221758,134.1153846153846,136.69230769230768
DEBU1959,0.0,0.0,0.8791860627591146,0.8094962668842014,0.6098823777540179,0.6770168500062878,0.995652213866705,1.0473300338697555,2.5260576243304294,1.8177332372013593,132.23076923076923,135.92307692307693
LU000013,0.0,0.0,0.5943131408353317,,0.5622001104808224,0.6645399589322039,0.6081548655661143,0.7926533704192776,2.274642367461529,1.8897484824049413,133.53846153846155,136.6153846153846
LU000017,0.0,0.0,0.8758697063930256,,0.5724331774596073,0.6705975155722494,0.9531568963534384,0.9735705182262571,2.4595552635714406,1.7897387591469647,127.3076923076923,136.84615384615384
DERP2027,0.0,0.0,0.7803864389285928,0.8792438773333735,0.5778379022572762,0.6756135645359388,1.1505958165844266,0.9971548118506134,1.82350299231343,1.7888277055614874,132.15384615384616,139.8846153846154
DERP2016,0.0,0.0,0.8266778092553939,0.9144177018956202,0.6578150607763272,0.6689040135333022,0.8784074757929518,0.8381668070556989,1.9650568511190973,1.865065489159998,139.65384615384616,136.96153846153845
FR003239,0.0,0.0,0.6319864187232145,,0.5417570920419356,0.6636256215290838,1.043221884394032,1.1942271481581879,1.7337156049387468,1.930859903388012,127.3913043478261,135.6086956521739
DERP2005,0.0,0.0,0.7088874995479464,0.35208856705605096,0.4455873237740707,0.6758904157517492,1.1496889079696715,1.1099628367217214,3.8171290952662003,1.7711366596912017,120.1923076923077,138.46153846153845
DERP2030,0.0,0.0,0.8471465925545317,0.7411481299879756,0.6020962318726577,0.6739904949794508,0.8358863192427771,0.8616909722782008,2.942742738094131,1.7887308245896378,139.34615384615384,140.69230769230768
FR003266,0.0,0.0,0.6519049639006956,,0.5675230756275457,0.6705435507439432,0.5183051714226222,0.6969103402427991,4.039028561215098,1.9880693917178827,130.0,136.63636363636363
FR003268,0.0,0.0,0.7041366701465849,,0.5557469480443066,0.6771672884811459,0.6968147202648104,0.7180445237393361,2.8354812658522928,1.9402454481371596,126.70833333333333,136.91666666666666
FR000138,0.0,0.0,0.7069617999984839,,0.4868317132856165,0.6637358607233774,0.9894250963306753,1.0071906913631556,2.617709868186704,1.9050587550912583,125.46153846153847,138.23076923076923
FR000200,0.0,0.0,0.7227762131249351,,0.4575035013218041,0.6735331332581651,0.6404261968432656,0.6199099043280122,2.8985084601167306,1.8870823499869507,120.91666666666667,137.5
FR003251,0.0,0.0,0.8360562619134853,,0.6287292890068247,0.6523621387529068,1.6258192494169288,1.6122044739691979,2.109642679560907,1.761488551536523,137.86363636363637,137.04545454545453
