basin,nse,nse_rg,nse_r1comp,nse_c1comp,nse_g1comp,nse_bfi_r1comp,nse_bfi_c1comp,nse_bfi_g1comp,bfi_obs,bfi_r1comp,bfi_c1comp,bfi_g1comp,qmean_obs,qmean_r1comp,qmean_c1comp,qmean_g1comp,slope_obs,slope_r1comp,slope_c1comp,slope_g1comp,hfd_obs,hfd_r1comp,hfd_c1comp,hfd_g1comp
FR000169,-0.03082897778793048,-0.0186170354112416,0.6899728441359942,0.7208018219239247,0.7085898795472358,,,,0.5816472690192767,0.5472638834655069,0.5752124868785857,0.543657542177457,0.7066709652720817,0.6249105208573408,0.6270453838212863,0.630601594205577,1.8911673540319904,2.7856992413378387,2.479091785473085,2.8142242069189973,132.52631578947367,130.8421052631579,133.6315789473684,132.0
DERP2029,0.017395259044848288,-0.08148261526504541,0.6895289629984898,0.6721337039536415,0.7710115782635352,0.21257372965545818,0.20088300320822183,0.49152628260227793,0.5770721236525367,0.7731930743534602,0.7860745033324076,0.7313470212143409,0.8128997419966302,0.8255476804399583,0.8246867541748094,0.8184989555743152,2.202408139605328,1.2424269993629182,1.2681418925723995,1.400402904703501,132.07692307692307,154.76923076923077,155.84615384615384,147.96153846153845
FR000153,-0.037399734452470024,-0.10940182001749654,0.6363013122594727,0.6737010467119428,0.7457031322769693,,,,0.6421192150887213,0.760080843803534,0.74280433134851,0.6630686929316602,1.0716031926027136,1.203681212219444,1.2048130857657022,1.1969151522844539,2.2348418963151917,1.100404670828123,1.2208835202212003,1.7175699576464705,133.83333333333334,150.44444444444446,147.5,136.11111111111111
FR000142,0.048612274680655765,-0.0022025560699894253,0.8321950530498216,0.7835827783691658,0.834397609119811,0.8442803234672375,0.7438256465388308,0.8443981065168107,0.6181879444170277,0.6210742409602918,0.5509319688338622,0.616867589102977,1.701081378030953,1.626924739395975,1.6247394210656338,1.580223876447824,2.1363079945665095,2.4322469445843238,2.8162620544919004,2.5476510323754655,134.65384615384616,132.30769230769232,128.80769230769232,132.3846153846154
DERP2023,0.010113601177523468,-0.02163051170704189,0.8472286506255631,0.8371150494480396,0.868859162332605,0.7989351288570448,0.8059166353245761,0.84333009397321,0.5475464240473255,0.5993361384006384,0.6217326574858241,0.575436392159885,1.2046407986235061,1.0505643657270387,1.04753211113357,1.0302047934941618,2.2375005419180587,2.6356816665877223,2.4611495517177135,2.4670329524020427,128.80769230769232,134.0,136.76923076923077,135.30769230769232
FR000128,-0.004569018342510889,0.0284500023925498,0.8680710144900738,0.8726400328325847,0.839621012097524,,,,0.5262351104042112,0.5706640350106383,0.5514275248737556,0.59678070915206,3.177223275885115,2.634513480616514,2.62750808315668,2.572287867934288,2.878325804251507,2.7670577312364726,2.838561873187255,2.9213731044949256,127.44,128.0,127.68,128.76
FR003246,0.017727972901833366,-6.68619262810255e-05,0.8204496199987746,0.8027216470969413,0.8205164819250557,,,,0.4707725058083362,0.5560188908696801,0.588127643780587,0.5485673516410906,0.9209072206799293,0.82068529494282,0.8235901121809988,0.8259955695873228,2.979323882652053,2.701289434932994,2.3989074397190033,2.8389330478452486,120.84,128.24,131.4,129.08
FR003241,-0.011805863758273416,-0.0067466841480400275,0.8815340181067142,0.8933398818649876,0.8882807022547542,,,,0.5720068735304338,0.6183515212309671,0.584789920518351,0.6140215994735035,1.9660347551444997,1.9901112060282256,1.9899430558771292,1.9448345581415043,2.6656768746543382,2.2799735009552013,2.4882519973106674,2.4766335890396856,127.5,128.8181818181818,127.0,128.4090909090909
FR003265,-0.007135874871895376,-0.006766635903794893,0.884861818744609,0.8919976936165044,0.8916284546484039,0.8611849694362267,0.8796378113541182,0.8936836835076051,0.6045800876045967,0.6397023665790783,0.6182982960688773,0.6247542274089585,1.3650431518522423,1.2448541535018502,1.2475600523872523,1.227360540177995,2.506784709873493,2.0414097261239688,2.2492443821166614,2.2988672692545165,132.30769230769232,133.46153846153845,132.84615384615384,132.8846153846154
LU000008,-0.0013521085452994352,0.20689110660113652,0.7020367698535779,0.7033888783988773,0.49514566325244136,,,,0.5007259510922724,0.5401280532296532,0.5627260249923622,0.7889438716074318,1.1407084448892786,1.1182635144717712,1.117521662350509,1.040077913884816,4.088001988594442,4.00264253853179,3.678261903706347,0.9029934684338097,119.61538461538461,124.92307692307692,127.61538461538461,153.23076923076923
LU000005,0.013172485528638256,0.1804962072206826,0.8667038522419901,0.8535313667133518,0.6862076450213075,,,,0.5131519601965012,0.5602835138285648,0.5768663335450445,0.7337486325003971,1.216878753629151,1.2204434511854576,1.2183830384176226,1.1347670368821339,3.044633207499545,3.261680671868019,3.179715673906132,1.134748955734266,124.53846153846153,127.92307692307692,130.07692307692307,148.23076923076923
BEWA0106,0.007507929399688362,0.32191788875020444,0.8051507971258742,0.7976428677261859,0.4832329083756698,,,,0.4968046967832148,0.5636318720743019,0.581638402277889,0.7879440969877818,1.157128320430866,1.0379505429235714,1.0352592630417456,0.975032997808143,4.0636305642567105,3.425995821360701,3.2183478855938548,1.1407466932845665,127.0,132.56521739130434,134.52173913043478,156.08695652173913
FR003280,-0.05132568712673291,-0.0656672535480366,0.40932344265393805,0.46064912978067096,0.47499069620197465,,,,0.6641526137715094,0.4891251015726608,0.5130327652716054,0.5160822605933811,1.2547971041714252,0.9298665070354202,0.9329211581473652,0.9279767146044089,3.012885676799598,3.282396401482303,3.002895365158925,2.8564967733702944,139.57692307692307,126.38461538461539,128.15384615384616,128.46153846153845
DERP2017,0.030441688249238208,0.11272947887328155,0.8584784728209662,0.828036784571728,0.7457489939476847,0.8272433965853989,0.7073797373296433,0.624158386818122,0.6040660981781378,0.6122253437225238,0.5653083053100335,0.7149042585342451,1.323952539769067,1.111044789900037,1.1274057449414283,1.0696563199105815,2.6920265731938446,2.2881679567746542,3.3374587352181337,1.3400653176822095,133.5,132.07692307692307,128.5,144.57692307692307
DERP2031,0.013970098529305863,0.1420018698569947,0.8737791800541832,0.8598090815248773,0.7317773101971885,0.8762471628526798,0.8407246935770057,0.48316519305506156,0.589492155815281,0.5811228803145642,0.562971986102253,0.7193362583030096,1.1105974049514904,1.1190474866897655,1.1274938901678546,1.0696070138017875,3.0308423381768783,2.7768328757836214,3.366658677392988,1.3329004193399472,133.8846153846154,129.69230769230768,128.80769230769232,145.26923076923077
FR000125,-0.008456508018017783,0.02706821214441324,0.8417653711393577,0.8502218791573755,0.8146971589949444,,,,0.5023047759426577,0.5459720057921018,0.5259301561371555,0.5705696574867734,3.519459023368721,3.0077842718747516,2.996654951284718,2.9389564280453047,2.7963068203600563,2.860127213479423,2.8542230382860843,3.0210039282607966,125.91304347826087,127.21739130434783,127.04347826086956,127.52173913043478
DERP2018,0.017797635370563003,0.13860177560313847,0.8831210275024243,0.8653233921318613,0.7445192518992858,0.8576873060311209,0.8168735424718141,0.4244560935146813,0.5762481641776137,0.5920686569887581,0.565934771823034,0.7172705856721545,1.024572454928391,1.0970198634375152,1.1106555777330205,1.0535401259041235,2.8786026835903322,2.5025015298273385,3.345450842333541,1.3312849497343782,132.46153846153845,130.57692307692307,128.65384615384616,144.96153846153845
DERP2022,0.00762335227217259,-0.02046237778687643,0.830016502560569,0.8223931502883964,0.8504788803474455,0.7365554483710599,0.746382485187262,0.7678417313105608,0.560257812862486,0.5933969807656788,0.6109609832067605,0.5661159433001225,1.3282642136993508,1.1094414065552785,1.1064439012202743,1.0853014901495914,2.16063169738943,2.6915265895329057,2.5693389303866945,2.4916241851175442,129.8846153846154,133.57692307692307,135.92307692307693,135.23076923076923
