basin_id,lit_fra_Alluvium,lit_fra_Carbonate rocks,lit_fra_Granitoids,lit_fra_Impermeable,lit_fra_Inland water,lit_fra_Limestones,"lit_fra_Limestones, sandstones and gravels","lit_fra_Limestones, sandstones and marls",lit_fra_Magmatic rocks,lit_fra_Massif,lit_fra_Molasses and clays,lit_fra_Plutonic rocks,"lit_fra_Sand, gravel and pebbles",lit_fra_Sands and clays,"lit_fra_Schists, gneisses, granites",lit_fra_Sedimentary rocks,lit_fra_Sediments mesosoics,lit_fra_Shales,lit_dom,tot_area
FR004152,1.846,0.0,0.0,3.864,0.0,12.493,0.0,0.0,0.0,0.248,78.372,0.0,3.177,0.0,0.0,0.0,0.0,0.0,Molasses and clays,100.0
FR004153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.388,0.0,20.612,0.0,0.0,0.0,0.0,0.0,Molasses and clays,100.0
FR004154,4.628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.907,0.0,79.465,0.0,0.0,0.0,0.0,0.0,"Sand, gravel and pebbles",100.0
FR004155,2.552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.349,0.0,47.099,0.0,0.0,0.0,0.0,0.0,Molasses and clays,100.0
FR004156,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.0,99.899,0.0,0.0,0.0,0.0,0.095,0.0,0.0,Molasses and clays,100.0
FR004157,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,99.804,0.0,0.13,0.0,0.0,0.062,0.0,0.0,Molasses and clays,100.0
FR004158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Molasses and clays,100.0
FR004159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.42,0.0,0.0,0.0,0.0,0.58,0.0,0.0,Molasses and clays,100.0
FR004160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.699,0.0,0.301,0.0,0.0,0.0,0.0,0.0,Molasses and clays,100.0
FR004161,0.0,0.0,0.0,22.237,0.0,19.189,0.0,0.0,0.0,0.0,54.912,0.0,3.662,0.0,0.0,0.0,0.0,0.0,Molasses and clays,100.0
FR004162,0.0,0.0,0.0,8.816,0.0,7.608,0.0,0.0,0.0,0.0,75.468,0.0,8.109,0.0,0.0,0.0,0.0,0.0,Molasses and clays,100.0
FR004163,0.431,0.0,0.0,8.61,0.0,7.429,0.0,0.0,0.0,0.0,74.177,0.0,9.354,0.0,0.0,0.0,0.0,0.0,Molasses and clays,100.0
