basin_id,lit_fra_Alluvium,lit_fra_Arkose,lit_fra_Coal,lit_fra_Conglomerate,lit_fra_Cristallin basement,lit_fra_Dolomite rock,lit_fra_Gravel and sand,lit_fra_Limestone,lit_fra_Limestone and marl,lit_fra_Marl,lit_fra_Marl and dolomite,lit_fra_Marl and limestone,lit_fra_Marl and sandstone,lit_fra_Plutonic rock,lit_fra_Quarzite,lit_fra_Sand,lit_fra_Sand and gravel,lit_fra_Sandstone,lit_fra_Sandstone and conglomerate,lit_fra_Sandstone and marl,lit_fra_Sandstone and schist,lit_fra_Sandstone and siltstone,"lit_fra_Sandstone, conglomerate and marl","lit_fra_Sandstone, siltstone and schist",lit_fra_Schist,lit_fra_Schist and sandstone,lit_fra_Silt,lit_fra_Silt and schist,"lit_fra_Siltstone, sandstone and schist",lit_fra_Volcanic rock,lit_fra_totalarea,lit_dom,tot_area
DERP2015,0.7468917855319213,0.0,0.0,0.0,0.0,0.33325289558776605,0.0,0.9606047062787724,4.888319490317715,38.17405566082087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.53514741389067,2.1845137999159703,0.0,0.0,0.0,0.0,0.0,0.0007770791502204391,0.0,0.1764371685061027,0.0,0.0,0.0,100.0,Sandstone,99.9783220082091
DERP2016,6.800568524564437,0.0,0.0,0.0,0.0,12.724851369584576,0.0,13.110055130429158,13.794381533994663,8.874653469665352,0.0,0.0,0.0,0.0,10.641919101184277,0.0,0.7874893548215398,1.05450372331256,18.001022455172166,8.180934706771508,0.0,0.0,0.0,0.0,2.2707135286896074,0.0,3.758907101810173,0.0,0.0,0.0,100.0,Sandstone and conglomerate,100.00000000000175
DERP2017,11.207082816487414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7950473879943802,0.0,0.0,0.0,0.0,28.66302357210264,6.259737403303545,0.09353782478631902,5.040973076148956,2.8146120477453347,0.0,23.758376372107474,0.0,0.0,0.0,20.367609499323937,0.0,0.0,0.0,0.0,0.0,100.0,Quarzite,99.99999999999956
DERP2018,7.997669094695481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5534247667820495,0.0,0.0,0.0,0.0,26.241514825175827,2.831133053504335,0.9380297250604794,3.1490373907637528,1.2729833038935439,0.0,30.131114851934203,0.0,0.0,0.0,25.88509298819033,0.0,0.0,0.0,0.0,0.0,100.0,Sandstone and schist,100.00000000000004
DERP2019,12.42937271405542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.846886357506715,16.607819511088064,0.3537991983683239,0.0,10.647754787970436,0.0,7.464710737503509,0.0,0.0,0.0,34.64965669350754,0.0,0.0,0.0,0.0,0.0,100.0,Schist,99.99999999999832
DERP2020,0.2782971021829447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.98986540056115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.73183749725591,0.0,0.0,0.0,0.0,0.0,100.0,Schist,99.4116233899665
DERP2021,3.807208326868904,0.0,0.0,0.16497032477552775,0.0,0.0,0.0,2.7906149813456085,3.235189431940719,10.471424261688714,0.0,0.0,0.0,0.0,7.9711291632206995,0.0,0.0,1.2220222339726527,0.0,0.0,0.0,7.409781283413043,0.0,0.0,62.667786054350614,0.0,0.0,0.0,0.0,0.2598739384235128,100.0,Schist,99.79716044766269
DERP2022,5.2460102219384765,0.0,0.0,0.09652276026460792,0.0,0.0,0.0,5.785164389290941,2.343065539671481,6.20833828337067,0.0,0.0,0.0,0.0,4.860846682469508,0.0,1.1996624992141154,6.58664859266751,4.589428347784616,0.0,0.29001155409653684,6.862313238148461,0.0,0.0,45.871651106640655,0.0,0.0,0.0,0.0,10.060336784442416,100.0,Schist,99.80185597320349
DERP2023,3.835179686176736,0.0,0.0,0.061535068930531234,0.0,0.0,0.0,9.498092222319729,3.2163408706775796,3.957956571790342,0.0,0.0,0.0,0.0,4.312867349756027,0.0,0.8385227584311267,8.108843785424394,4.612128787925878,0.0,1.2844115285308766,5.0894924763327785,0.0,0.0,47.03733104730946,0.0,0.0,0.0,0.0,8.147297846394538,100.0,Schist,99.87365245983165
DERP2024,2.206373655619938,0.0,0.0,0.035401041436060744,0.0,3.6118240387247242,2.1613620617465155,6.260330277063657,1.8503565270056765,9.195179125817466,0.0,0.0,0.0,0.0,2.9671517799203286,0.0,1.5102457934779407,14.93144823432075,16.182175578711277,0.0,0.738891820310172,3.756712248241087,0.0,0.0,27.289820988526557,0.0,2.615597462606322,0.0,0.0,4.687129366471509,100.0,Schist,99.92727340697016
