,nse_nogeo,nse_g1comp,nse_c1comp,nse_r1comp,nse_rand,bfi_obs,bfi_r1comp,bfi_c1comp,bfi_g1comp,bfi_nogeo,bfi_rand,hfd_obs,hfd_r1comp,hfd_c1comp,hfd_g1comp,hfd_nogeo,hfd_rand,slope_obs,slope_r1comp,slope_c1comp,slope_g1comp,slope_nogeo,slope_rand,qmean_obs,qmean_r1comp,qmean_c1comp,qmean_g1comp,qmean_nogeo,qmean_rand,p_mean
DERP2021,0.7803580996766983,0.8969481006409243,0.8593359392867237,0.8760384776219019,0.8273130800501762,0.4591250192938142,0.5539649689258248,0.593746319593113,0.5173296068097504,0.6542385300580396,0.6250167949610874,121.6,129.7,130.7,129.2,137.6,133.7,3.404240078415082,3.2748446114492866,3.0492833877449277,2.97868457384004,1.808378245097873,2.1100612694269274,1.464481551653921,1.32726139746829,1.3378979906833395,1.3112018494496827,1.2816729707156054,1.3166202994347052,2.619
DERP2022,0.8678532048240284,0.8777437511209548,0.8666913194790218,0.8674486064951683,0.8428405311457707,0.5486392193523336,0.5835070412771602,0.6071762536827254,0.5948729526158947,0.6318248656106391,0.6643043502589796,127.8,130.1,132.3,134.1,133.6,136.8,2.155827263907703,2.9773296484366,2.615683724990509,2.4392122008952817,2.258550049351728,2.1682687847088356,1.4021329762249282,1.2821553015138865,1.2467107136781692,1.2251537759851643,1.2441748549535123,1.2366903202594497,2.48
DERP2023,0.9004584800130413,0.9167444580748897,0.8983088155322829,0.9083429114190399,0.8872453058411234,0.5445111459453393,0.5595104936835151,0.5913530935498327,0.5547729032398787,0.6114282682847629,0.6120574544389217,126.4,128.3,129.8,130.4,132.7,132.6,2.2481936916460015,2.933153971409709,2.9049195029692947,2.6508606959915304,2.25715877513501,2.6038525331867706,1.2369568261467465,1.2369196270371203,1.2267943050522205,1.2218755980599312,1.2039069243683673,1.205931350877468,2.432
DERP2024,0.9046465622669737,0.9248459752581623,0.9157693671266188,0.9138309597454717,0.9165399761363149,0.5954189616161021,0.6355368940313176,0.6248261657673359,0.5917350364553264,0.6638330207037728,0.6333469659160769,129.6,133.4,132.0,131.1,136.2,132.6,1.986991901889841,2.3041511438706963,2.437556265994219,2.3974535287668957,1.780576456525719,2.241767588808358,1.0523339162778487,1.0533845606072847,1.0647744633155605,1.0428140045414933,1.026054481512248,1.0509834195118697,2.334
DERP2027,0.8538004297604672,0.8466613471236928,0.8238532638907753,0.8451123405042477,0.8190317466939461,0.5851680085257199,0.5753261016861135,0.6792654797086535,0.5735324635035451,0.6203549809120813,0.6881684485472331,130.7,129.3,136.7,131.2,132.5,140.3,1.6648709933632906,2.5955525482937913,1.8498229342194403,2.445285852955894,2.025552040031438,1.5203334485938,1.2559957562397783,1.27223493098401,1.310008015098965,1.2924438090031778,1.3078371293146924,1.2769338673555677,2.321
DERP2028,0.8893778406158366,0.8171468527811805,0.6957419063741022,0.7775240957196331,0.8860694357901668,0.5745968995365921,0.7436406674034515,0.7754378123916936,0.7161517438971957,0.6314189887538892,0.6265054967601213,127.0,140.1,153.8,138.4,132.3,132.0,2.3051222143415506,1.430881543398653,1.4465683192822265,1.5931335156303204,1.9532320903654794,2.724093015611792,1.121030624589348,1.1512464954543302,1.1663596429824992,1.1494139634003422,1.1575498979514975,1.1687016890130908,2.363
DERP2029,0.8984822109725059,0.8281981548133759,0.8340681197631507,0.7978470984196617,0.8984716261602684,0.572083249891015,0.7254026646159433,0.7096447946563246,0.7122420788485286,0.6185730112821726,0.5593672203970019,127.4,142.7,136.9,137.1,131.2,127.8,2.2274026292067917,1.5768626579426348,1.409478125604339,1.53104425131823,2.222291231686141,3.151777675216813,0.8391524514683921,0.8793009941221802,0.8423161488128952,0.8412248898503906,0.8574867391499701,0.8619489963256339,2.249
DERP2030,0.8698877856302873,0.7122847144964,0.8788229286242719,0.8873992644709404,0.8943128723916091,0.5909229147924828,0.5615562752159874,0.5897347025884576,0.7297354750641146,0.630752881184842,0.5810610716555822,134.5,129.2,131.4,149.4,134.7,132.0,3.0565314499118075,2.981518706112656,3.7186221549826404,1.423819385167065,1.9884574076961152,3.0574524886707706,0.8615649736187158,0.8789292579311895,0.9260910096730778,0.8891414637874023,0.8863594215356323,0.8871120355979975,2.197
DERP2031,0.8862565245501011,0.8562389089554256,0.8911795729501738,0.9076755666067596,0.888958114619905,0.5720589215009384,0.5590859572248744,0.5506565146521212,0.6586347153620029,0.6232245169024038,0.6316562467221831,130.4,128.0,126.3,135.0,132.4,133.3,3.065145491003925,3.1160527609562916,3.106592192230576,2.5630750589527893,2.17560475738721,2.3129729759168507,1.102746555981952,1.0934834998415242,1.0763288873209402,1.0664270774785702,1.0599744136112768,1.078499012975332,2.554
DERP2033,0.8484380223722681,0.8715436968415488,0.8504315545526424,0.8923616159310087,0.8981861680147514,0.5041743000666469,0.5872317581445393,0.6158393706772909,0.6102163257457113,0.6384451965720987,0.5636961611517767,124.8,130.4,130.8,132.6,132.6,128.2,2.6316790837392547,2.8408018662226833,2.732646664812753,2.507233594668477,2.2173136414186407,3.2062024639428968,0.8855417017057196,0.9187994479535974,0.8981697272533972,0.8997408041327508,0.8934863342610008,0.832752879681682,2.168
DERP2036,0.8102847944457005,0.8652664304266662,0.8428502946236384,0.878182134625842,0.8286174643572463,0.4699027475701239,0.5138393623543702,0.5386455560882868,0.5423447098834102,0.6214791969331422,0.6066959240508291,123.2,126.9,128.4,130.9,134.1,133.1,3.4511666460051917,3.8906819774390335,4.616044211590257,3.3183575749531986,2.305286668911412,2.382804419049369,0.7981283735056651,0.823459445462269,0.8376999082740667,0.8316275157175052,0.8266824700183935,0.8141124650214505,2.053
FR000124,0.8448641822352136,0.8471728756221965,0.8706780317227754,0.8638471896696035,0.8508690265897492,0.4726218364578138,0.4424470195204113,0.5073661978824051,0.5302703864931004,0.5335154532170829,0.5296617977723344,103.0,107.2,112.1,112.1,116.1,115.2,3.0385210898345605,3.439202981152714,2.740312120976084,3.060939140553351,2.258379968308628,2.3174518850168315,4.39223362680719,4.077358684369329,4.1005662601404556,4.061319590142101,3.9164307334124713,3.928265522475952,4.931
FR000125,0.8683397825167132,0.8887613504524342,0.8964624250991595,0.9077192051375291,0.8848269046708658,0.48093683746800886,0.4744926822626786,0.5155434299548253,0.5197844050852471,0.5669227185675316,0.5516854173512632,118.4,119.6,122.7,124.1,128.1,127.1,3.1354802463810776,3.122371570767402,2.6942626936071448,3.013595827860005,2.0696665547037685,2.496724864945411,3.892136569931575,3.7500005878881533,3.596869537403995,3.5415752680904324,3.61104051717158,3.69568146944971,4.783
FR000128,0.8869626838401047,0.9066423522229015,0.923276602025919,0.9177631320395963,0.893532580945121,0.5083031070905023,0.48188861061896093,0.5074757507530503,0.5537199401647389,0.5534714974434184,0.5734218410181159,120.4,118.6,119.7,122.6,125.7,125.7,2.8700009407532465,3.230625267332839,3.068592455437742,3.017650358671522,2.2557539753279334,2.4270732963007418,3.2616572862245112,3.063085690119142,3.098035934873104,3.052031017021183,2.994066035239465,3.0062414559131625,4.314
FR000132,0.820477740808142,0.8399175094006684,0.8255269472030303,0.8485819993924817,0.830118285036747,0.6363504061531493,0.7015298678904022,0.6065336832620716,0.634973968647886,0.6390434638326705,0.6212676371770725,130.3,136.5,129.9,133.3,132.1,131.1,2.0267123476038367,2.025560469864502,2.3055771480886307,2.11677705375387,1.8483621014802167,2.206696164545626,1.9767657458173713,2.0741864922303215,2.111807894823781,2.0717781182162263,2.077241677794811,2.0730302808123477,3.977
FR000137,0.7571402647752389,0.8026686718897392,0.8012908655258808,0.8186161441037706,0.7160124071431815,0.48846846515916653,0.5445986868152433,0.5586206385399212,0.5030784713987323,0.6325801174356752,0.671242462794516,119.6,123.2,123.4,121.6,129.2,134.2,2.968914186121158,2.7466219332299064,2.7026747781770206,3.1318623549211217,2.211499606754652,1.8853595143219293,0.9684083578059985,0.9537338336486351,0.9564301056280394,0.9604310356748538,0.9459362243695375,0.9364905703372154,2.584
FR000138,0.7546961260886996,0.8021673905486933,0.7927381195481759,0.8035107042735341,0.781399719901404,0.45921921551355976,0.6025227767250149,0.6176706584482615,0.5572593036739342,0.6441070348341235,0.5725723736073454,125.8,125.2,127.8,123.2,128.8,123.6,2.5710304385588887,2.28036963703955,2.1597105472324,2.904234871221972,2.088832150649733,3.257063696386105,0.9794343918269578,0.90568346655531,0.9565594425004328,0.9358229491163325,0.9470203039634542,0.9342864995808458,2.504
FR000140,0.9035224126214653,0.9100997280605579,0.9133907537601531,0.9058693682993773,0.9029398875654606,0.5591937631939575,0.553473806962005,0.5638986512414165,0.5637639116014906,0.5906855841667227,0.5311306386074311,124.4,123.9,125.2,125.1,127.5,121.1,2.528334790511538,2.882079168749124,2.8650996650187612,3.0680252494079268,2.399760439844749,3.234345378351947,1.5430436040647502,1.3398952633837065,1.3651558679567681,1.3536242269258503,1.3507043477256386,1.3690552382653554,3.052
FR000142,0.8392877152513797,0.8468966238652511,0.8238301198715384,0.8367756965229572,0.84462714940274,0.6019172715051415,0.5611625050003263,0.5602322821023432,0.5846686949355844,0.5886339828132819,0.6516878591366262,127.3,124.0,125.4,127.4,129.5,134.0,2.1467110485206917,2.8032055097604824,2.6160998871345416,2.6980735214657616,2.2344630727833907,1.9111820788125438,1.778072717734995,1.6247309401584005,1.630850269787222,1.5982097336230987,1.5823673803857297,1.5678770353003804,3.409
FR000144,0.13159369115810804,0.43142311227913277,0.39416309122104554,0.4852037856538246,0.25958888040658556,0.6919797962677862,0.7917080551793442,0.7176007277760748,0.7344999779001701,0.6115708187944029,0.6569322533899062,169.2,148.9,140.4,141.8,130.4,134.1,2.0722569140767155,1.3210839476978842,1.607736203787214,1.6235926422770641,2.080115097869938,2.0123672746454417,1.5155136532077158,1.3165697173420956,1.3203165917700133,1.3077838089945262,1.3241586771011407,1.3134482791367155,2.829
FR000153,0.6924320979759021,0.7519975816926657,0.7431364079303926,0.7190704773189087,0.715338931760034,0.6591029136926445,0.7340201907372329,0.7155604827776976,0.65934989309717,0.6133157056805526,0.6193194058023432,132.14285714285714,140.0,135.57142857142858,129.57142857142858,126.42857142857143,126.14285714285714,2.1089461264422362,1.5983627986638147,1.501058087008799,2.0493133235196357,2.4701290993776452,2.665420526862324,1.0867913142970098,1.2983285777903997,1.2641394186796173,1.2689109127350013,1.280403163496873,1.2818635541317358,2.898
FR000154,0.74482960978375,0.7229944213523167,0.7503720025537333,0.7428105297533905,0.7526355135319376,0.5556401056163833,0.5352973944391772,0.5600995438020896,0.5129591649892296,0.6397548712544289,0.6213807042589128,129.8,124.9,125.3,124.0,129.9,128.4,1.7097378349488639,2.695733035745073,2.5971286477371622,2.973191090437337,2.0292010572219956,2.414602628008022,0.8912075813872051,0.7189137191586324,0.7235266313172468,0.7273159026953467,0.7151814569950289,0.7253147040330598,2.203
FR000156,0.8939965757986222,0.8931064218161333,0.8953998437748169,0.8980498295867553,0.8593449938558805,0.6198491542956422,0.6742650822363552,0.6563084931848743,0.6422426533471861,0.6175036020624227,0.5716144804418036,134.0,133.4,133.1,133.5,129.6,127.2,2.301582540303807,1.8336945161034883,1.9124001572407658,2.090206876237895,2.101217938570066,2.891162701100035,1.088752885177528,1.0789656747339817,1.1059779920990416,1.1061672745118554,1.1043230003581677,1.1059627213094085,2.632
FR000159,0.8388405129184928,0.8434522781429301,0.8541732650090541,0.8459254815028973,0.795006053385161,0.6193367257473716,0.6497942720943146,0.6324703045070555,0.6238706056389035,0.6566907061123737,0.7379646048234492,109.0,109.375,108.25,108.125,109.5,112.375,2.370530152201999,2.181764968788425,2.2921267907217575,2.4762861192138543,2.083516282972985,1.678311073998916,1.2595681267179353,1.0545915286161514,1.066518268658513,1.046956411039432,1.029270099207235,1.0302701131025636,2.615
FR000169,0.7759804336447117,0.7528598660431511,0.8066956705148248,0.7582850424426687,0.7729211560026028,0.5896183389115641,0.5303787942401494,0.6285474535295419,0.5166812672765363,0.6247628402856535,0.6489527351541929,130.3,123.5,133.0,124.5,129.4,130.9,1.9231847227296712,2.632377375179459,1.8551641340520448,2.7298141653938393,2.223720807002846,2.187133653085924,0.6998296648043829,0.6426206332291934,0.6230568536287312,0.6457012529703545,0.6261503042157344,0.6218584020305287,2.104
FR000171,0.8294712940341099,0.8276573506727934,0.835111306332746,0.8266569880865207,0.8371591060524217,0.5158354738393437,0.5277353905081091,0.5588632171768886,0.5288691211652808,0.6248740142252226,0.6044641773656705,122.0,124.2,127.0,125.3,130.3,129.5,2.4504849694227997,3.0223691141764624,2.653606521231555,3.196975906346668,2.0992614954545257,2.5136394028425775,0.6369299341228979,0.5413683582948075,0.5549390532569363,0.5595265715313934,0.5461310646670554,0.5457369487911452,2.084
FR000174,0.5753417787395549,0.6714314692413856,0.6539608052036192,0.6516229739373691,0.6306641418249659,0.4646428754375027,0.5468739008705727,0.5699222397308548,0.573336416938839,0.6950421343640197,0.66169364017244,,,,,,,3.151131631179771,4.282366965918426,3.6453681448587765,3.5472391343541783,2.2488286082375177,2.8322694607025873,0.7132773623724136,0.9197867985699709,0.92610830576625,0.9038816837725167,0.877348783025092,0.8897969656865813,2.198
FR000183,-0.04299026740281153,0.06306742232925677,0.08505739345760566,0.07858576609194035,0.10827361362928267,0.7596629208339132,0.7069431996904644,0.7024767513420004,0.6798622951389423,0.6261589810783421,0.7253508093558733,144.7,137.8,143.3,135.1,130.6,140.2,2.049050181960083,1.6598559831064652,1.5332725064625616,1.9022331102618848,2.0148657533758647,1.6474642358706673,1.6669393213119859,1.1854799233647018,1.199912951218582,1.188606214630466,1.1911890687883968,1.1884135776563678,2.568
