basin_id,lit_fra_Alluvium,lit_fra_Basement,lit_fra_Chalk,lit_fra_Clastic deposits,lit_fra_Clastics with flint,lit_fra_Clayey and fractured limestones,"lit_fra_Dolomites, sandstones, and marls","lit_fra_Faluns, sands, and clayey-sandy",lit_fra_Fissured clayey limestones,lit_fra_Horsts,lit_fra_Infra-gypsiferous marls,lit_fra_Limestones,lit_fra_Limestones and dolomites,"lit_fra_Limestones, marls and sands","lit_fra_Limestones, sandstones, clayey limestones and clays",lit_fra_Marls,lit_fra_Massif basement,lit_fra_Outcropping limestones,lit_fra_Post-secondary weathered materials,lit_fra_Sands,lit_fra_Sands and clays,lit_fra_Sandstones and dolomites,lit_dom,tot_area
FR001225,0.0,0.0,10.703,0.0,3.874,0.598,0.0,0.0,0.0,0.0,0.0,80.065,0.0,2.33,0.0,1.493,0.0,0.0,0.0,0.936,0.0,0.0,Limestones,100.0
FR001226,0.0,0.0,15.647,0.0,3.138,1.264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.743,0.0,0.0,0.0,46.207,0.0,0.0,Sands,100.0
FR001227,0.0,1.321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.679,0.0,0.0,0.0,0.0,0.0,Massif basement,99.995
FR001228,0.0,0.433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.567,0.0,0.0,0.0,0.0,0.0,Massif basement,100.0
FR001229,0.0,0.256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.744,0.0,0.0,0.0,0.0,0.0,Massif basement,100.0
FR001230,0.0,0.083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.917,0.0,0.0,0.0,0.0,0.0,Massif basement,100.0
FR001231,0.0,0.0,0.0,1.737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.263,0.0,0.0,0.0,0.0,0.0,Massif basement,100.0
FR001232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,Massif basement,100.0
FR001233,0.0,0.042,0.0,0.611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.346,0.0,0.0,0.0,0.0,0.0,Massif basement,100.0
FR001234,0.0,0.04,0.0,0.576,0.0,0.0,0.007,0.0,0.0,0.0,0.0,0.027,0.0,0.0,0.242,0.004,99.104,0.0,0.0,0.0,0.0,0.0,Massif basement,100.0
FR001235,0.0,0.039,0.0,0.562,0.0,0.0,0.088,0.0,0.0,0.0,0.0,0.549,0.0,0.0,0.612,0.373,97.306,0.0,0.0,0.0,0.471,0.0,Massif basement,100.0
FR001236,0.0,0.0,0.0,0.0,0.0,0.0,3.673,0.0,0.0,0.0,0.0,9.627,0.0,0.0,9.435,2.2,75.065,0.0,0.0,0.0,0.0,0.0,Massif basement,100.0
